Fecha,Estado,Clase,Servicio,Fuente comparendo,Infracción,Lugar  infracción
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D01,32 CAÑAVERAL
10/14/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C35,30 CAÑAVERAL
10/14/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D07,32-10 CAÑAVERAL
10/14/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D02,4E-17 CUMBRE
10/14/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C24,6E 05
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C35,26 CAÑAVERAL
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D01,6E 05
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,26 CAÑAVERAL
10/14/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C35,26 CAÑAVERAL
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C15,Floridablanca
10/14/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D07,Floridablanca
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D01,29 CAÑAVERAL
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,B03,29 CAÑAVERAL
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C35,Floridablanca
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C35,Floridablanca
10/14/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C02,6 CASCO URBANO
10/14/2022 12:00:00 AM,Resolucion,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C03,Floridablanca
10/14/2022 12:00:00 AM,Resolucion,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C35,Floridablanca
10/14/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C02,22 FOS-UNAB
10/14/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,Floridablanca
10/14/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C24,20 94
10/14/2022 12:00:00 AM,Pagado,BUSETA,Particular,Comparendera Electrónica Simit,C02,26 CAÑAVERAL
10/14/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C02,30 76
10/14/2022 12:00:00 AM,Cese,AUTOMOVIL,Particular,Comparendera Electrónica Simit,H03,Floridablanca
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D01,26-80 ESTACION DE PONALP.Q.P.
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D02,26-80 E.PONAL P.Q.P.
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C35,26-80 PONALP.Q.P.
10/14/2022 12:00:00 AM,Cese,MOTOCICLETA,Particular,Comparendera Electrónica Simit,H03,Floridablanca
10/14/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,26 10
10/14/2022 12:00:00 AM,Pagado,BUSETA,Particular,Comparendera Electrónica Simit,C02,Floridablanca
10/14/2022 12:00:00 AM,Pagado,BUSETA,Público,Comparendera Electrónica Simit,C03,Sin identificar
10/14/2022 12:00:00 AM,Pagado,MICROBUS,Público,Comparendera Electrónica Simit,C03,Sin identificar
10/14/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C14,Sin identificar
10/14/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C14,Floridablanca
10/14/2022 12:00:00 AM,Resolucion,BUSETA,Particular,Comparendera Electrónica Simit,C14,Sin identificar
10/14/2022 12:00:00 AM,Pagado,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,Sin identificar
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,D02,Sin identificar
10/14/2022 12:00:00 AM,Pagado,AUTOMOVIL,Particular,Comparendera Electrónica Simit,C02,27 29
10/14/2022 12:00:00 AM,Resolucion,MOTOCICLETA,Particular,Comparendera Electrónica Simit,C02,Floridablanca
